epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5604856014251709,1.6435859203338623,0.001,0.6346153616905212,1.3282872438430786
1,0.7450035214424133,1.279846429824829,0.001,0.6036789417266846,1.4320963621139526
2,0.7974665760993958,1.1892266273498535,0.001,0.6496655344963074,1.3431832790374756
3,0.8249824047088623,1.1456774473190308,0.001,0.6128762364387512,1.4320690631866455
4,0.8556650280952454,1.076597809791565,0.0003,0.6362876296043396,1.3363702297210693
5,0.873223066329956,1.0418636798858643,0.0003,0.6555184125900269,1.2959351539611816
6,0.8773398995399475,1.0274415016174316,0.0003,0.6438127160072327,1.342423915863037
7,0.8803659677505493,1.018126368522644,0.0003,0.6471571922302246,1.3122292757034302
0,0.9019352793693542,0.9747800230979919,3e-05,0.724916398525238,1.1857019662857056
1,0.9198451638221741,0.9436624646186829,3e-05,0.681438148021698,1.2276331186294556
2,0.9324771165847778,0.9243636131286621,3e-05,0.7123745679855347,1.2006334066390991
3,0.9358550310134888,0.9124130606651306,3e-05,0.7332776188850403,1.158043622970581
4,0.9437016248703003,0.8985803127288818,3e-05,0.724916398525238,1.1909070014953613
5,0.9465165138244629,0.8868125677108765,3e-05,0.7316053509712219,1.168999195098877
6,0.9525334239006042,0.8798498511314392,3e-05,0.7349498271942139,1.15415620803833
7,0.9538705348968506,0.8739210367202759,3e-05,0.7366220951080322,1.1477417945861816
8,0.9548205733299255,0.8666272163391113,3e-05,0.764214038848877,1.092787265777588
9,0.9572483897209167,0.8600850701332092,3e-05,0.7575250864028931,1.0954047441482544
10,0.9578817486763,0.857312798500061,3e-05,0.7792642116546631,1.0435394048690796
11,0.9630190134048462,0.8458271622657776,3e-05,0.785953164100647,1.0430694818496704
12,0.9637227058410645,0.8428870439529419,3e-05,0.7775919437408447,1.0293294191360474
13,0.9609078168869019,0.8415014147758484,3e-05,0.7675585150718689,1.0497604608535767
14,0.9634764194488525,0.8347789645195007,3e-05,0.7692307829856873,1.018959641456604
15,0.9634412527084351,0.8315814733505249,3e-05,0.7867892980575562,0.9952563047409058
16,0.9659746885299683,0.825644850730896,3e-05,0.7759197354316711,1.0149391889572144
17,0.9645320177078247,0.8240799307823181,3e-05,0.8026756048202515,0.9877988696098328
18,0.9661505818367004,0.8194007873535156,3e-05,0.7884615659713745,1.009052038192749
19,0.966889500617981,0.8139978051185608,3e-05,0.7851170301437378,0.9487186074256897
20,0.9680506587028503,0.8109721541404724,3e-05,0.7834448218345642,0.9838351607322693
21,0.9684377312660217,0.8076907396316528,3e-05,0.8210702538490295,0.9362088441848755
22,0.9699859023094177,0.8028498888015747,3e-05,0.8386287689208984,0.9014455676078796
23,0.9703378081321716,0.7990922331809998,3e-05,0.8110367655754089,0.910994827747345
24,0.9693877696990967,0.8004215359687805,3e-05,0.8478260636329651,0.8722125887870789
