loss,accuracy,val_loss,val_accuracy,lr
1.056053638458252,0.9041168093681335,1.1462316513061523,0.760869562625885,3e-05
0.9916318655014038,0.9365939497947693,1.2475030422210693,0.6964883208274841,3e-05
0.9659302830696106,0.9474313855171204,1.0929474830627441,0.8277592062950134,3e-05
0.9430384635925293,0.9556650519371033,1.02520751953125,0.8570234179496765,3e-05
0.9311825633049011,0.9602744579315186,1.1208099126815796,0.7951505184173584,3e-05
0.9161879420280457,0.964989423751831,0.9789060354232788,0.8862876296043396,3e-05
0.9041337966918945,0.9671006202697754,0.9017578959465027,0.9105350971221924,3e-05
0.8948277235031128,0.966643214225769,0.8344089388847351,0.9364548325538635,3e-05
0.8853704333305359,0.9672414064407349,0.8905205726623535,0.9038461446762085,3e-05
0.8742203116416931,0.9703025817871094,0.8088064789772034,0.9615384340286255,3e-05
0.8625096678733826,0.9710063338279724,0.8533855080604553,0.9005016684532166,3e-05
0.8580934405326843,0.9697044491767883,0.9115324020385742,0.8871237635612488,3e-05
0.8491988778114319,0.9707600474357605,0.7968265414237976,0.9147157073020935,3e-05
0.8431298136711121,0.970795214176178,0.7485863566398621,0.9331103563308716,3e-05
0.833612859249115,0.9709359407424927,0.8436944484710693,0.9013378024101257,3e-05
0.8252958655357361,0.9700914621353149,0.7269495725631714,0.9322742223739624,3e-05
0.8188356161117554,0.9724137783050537,0.7810925841331482,0.9138795733451843,3e-05
0.8109533190727234,0.9706544876098633,0.7224835157394409,0.9372909665107727,3e-05
