epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5168895125389099,1.7776809930801392,0.001,0.5167223811149597,1.6553312540054321
1,0.713687539100647,1.3738689422607422,0.001,0.52173912525177,1.5805811882019043
2,0.7775862216949463,1.26873779296875,0.001,0.6028428077697754,1.4510356187820435
3,0.8129486441612244,1.211046576499939,0.001,0.5961538553237915,1.475048542022705
4,0.8271287679672241,1.1896578073501587,0.001,0.6078595519065857,1.4311764240264893
5,0.8402533531188965,1.1741150617599487,0.001,0.6137123703956604,1.4776685237884521
6,0.8501055836677551,1.1519572734832764,0.001,0.5944815874099731,1.6032391786575317
7,0.8521815538406372,1.1477371454238892,0.001,0.6262542009353638,1.4775915145874023
0,0.9041168093681335,1.056053638458252,3e-05,0.760869562625885,1.1462316513061523
1,0.9365939497947693,0.9916318655014038,3e-05,0.6964883208274841,1.2475030422210693
2,0.9474313855171204,0.9659302830696106,3e-05,0.8277592062950134,1.0929474830627441
3,0.9556650519371033,0.9430384635925293,3e-05,0.8570234179496765,1.02520751953125
4,0.9602744579315186,0.9311825633049011,3e-05,0.7951505184173584,1.1208099126815796
5,0.964989423751831,0.9161879420280457,3e-05,0.8862876296043396,0.9789060354232788
6,0.9671006202697754,0.9041337966918945,3e-05,0.9105350971221924,0.9017578959465027
7,0.966643214225769,0.8948277235031128,3e-05,0.9364548325538635,0.8344089388847351
8,0.9672414064407349,0.8853704333305359,3e-05,0.9038461446762085,0.8905205726623535
9,0.9703025817871094,0.8742203116416931,3e-05,0.9615384340286255,0.8088064789772034
10,0.9710063338279724,0.8625096678733826,3e-05,0.9005016684532166,0.8533855080604553
11,0.9697044491767883,0.8580934405326843,3e-05,0.8871237635612488,0.9115324020385742
12,0.9707600474357605,0.8491988778114319,3e-05,0.9147157073020935,0.7968265414237976
13,0.970795214176178,0.8431298136711121,3e-05,0.9331103563308716,0.7485863566398621
14,0.9709359407424927,0.833612859249115,3e-05,0.9013378024101257,0.8436944484710693
15,0.9700914621353149,0.8252958655357361,3e-05,0.9322742223739624,0.7269495725631714
16,0.9724137783050537,0.8188356161117554,3e-05,0.9138795733451843,0.7810925841331482
17,0.9706544876098633,0.8109533190727234,3e-05,0.9372909665107727,0.7224835157394409
