epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.1854327917098999,2.33034086227417,0.001,0.11120401322841644,2.740365505218506
1,0.5440182685852051,1.687803030014038,0.001,0.47826087474823,2.111281156539917
2,0.7831456661224365,1.2725950479507446,0.001,0.54347825050354,1.5779492855072021
3,0.8722378611564636,1.0983637571334839,0.001,0.6304348111152649,1.3475693464279175
4,0.9012666940689087,1.0250288248062134,0.001,0.7683946490287781,1.1502435207366943
5,0.9192118048667908,0.9793056845664978,0.001,0.5,2.414264440536499
6,0.9326179027557373,0.9417850971221924,0.001,0.7633779048919678,0.9811776876449585
7,0.9396551847457886,0.9192099571228027,0.001,0.8436455130577087,0.7393657565116882
8,0.944722056388855,0.9028833508491516,0.001,0.579431414604187,1.7322267293930054
9,0.9472554326057434,0.890429675579071,0.001,0.8068562150001526,0.9644436240196228
10,0.951724112033844,0.8794455528259277,0.001,0.8461538553237915,0.8525431752204895
11,0.9520760178565979,0.8688400387763977,0.001,0.7792642116546631,1.059254765510559
12,0.9545390605926514,0.8603339195251465,0.001,0.8352842926979065,0.8921313881874084
13,0.9670654535293579,0.8210181593894958,0.0003,0.8745819330215454,0.69966059923172
14,0.9695636630058289,0.8059757351875305,0.0003,0.9030100107192993,0.6638272404670715
15,0.9692469835281372,0.7983106374740601,0.0003,0.9214046597480774,0.6315262913703918
16,0.9692469835281372,0.7917149662971497,0.0003,0.8386287689208984,0.7651727199554443
17,0.9697747826576233,0.7828960418701172,0.0003,0.8520066738128662,0.825093150138855
18,0.9688247442245483,0.776951014995575,0.0003,0.7842809557914734,0.8912131786346436
19,0.9676636457443237,0.7731146216392517,0.0003,0.8821070194244385,0.7012954354286194
20,0.9694933295249939,0.7694587707519531,0.0003,0.8662207126617432,0.7502522468566895
21,0.9716045260429382,0.7597643136978149,9e-05,0.8645485043525696,0.6594090461730957
22,0.9709359407424927,0.7547420263290405,9e-05,0.8745819330215454,0.6415493488311768
23,0.9720619320869446,0.7517906427383423,9e-05,0.8779264092445374,0.649353563785553
24,0.9710767269134521,0.748150110244751,9e-05,0.8854514956474304,0.6540997624397278
25,0.9717100858688354,0.7449504137039185,9e-05,0.8821070194244385,0.6372531056404114
