loss,accuracy,val_loss,val_accuracy,lr
1.0587584972381592,0.8828641772270203,1.3280115127563477,0.7048494815826416,3e-05
1.001163363456726,0.9152709245681763,1.264896273612976,0.7349498271942139,3e-05
0.9732192158699036,0.9271639585494995,1.2607710361480713,0.692307710647583,3e-05
0.9499498605728149,0.9383533000946045,1.1463485956192017,0.7550167441368103,3e-05
0.9350916743278503,0.947044312953949,1.018396019935608,0.8160535097122192,3e-05
0.9199460744857788,0.9531667828559875,0.8482860922813416,0.9055184125900269,3e-05
0.9086677432060242,0.9551372528076172,0.9729190468788147,0.8135451674461365,3e-05
0.8984253406524658,0.9588670134544373,1.1402404308319092,0.7600334286689758,3e-05
0.8888248801231384,0.9627726674079895,0.9761602878570557,0.7851170301437378,3e-05
0.8800762891769409,0.9649190902709961,0.9402807950973511,0.8486621975898743,3e-05
0.8683710098266602,0.9681210517883301,0.8631711006164551,0.8795986771583557,8.999999e-06
0.8638150095939636,0.969071090221405,0.8798948526382446,0.8620401620864868,8.999999e-06
0.8561916947364807,0.9701618552207947,0.9088742136955261,0.8653846383094788,8.999999e-06
0.8566962480545044,0.9712174534797668,0.9005897641181946,0.8821070194244385,8.999999e-06
