epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5412737727165222,1.701328992843628,0.001,0.5777592062950134,1.4986624717712402
1,0.720795214176178,1.3436716794967651,0.001,0.579431414604187,1.4209693670272827
2,0.7760379910469055,1.240190029144287,0.001,0.5936455130577087,1.4343591928482056
3,0.8017593026161194,1.197959303855896,0.001,0.6429765820503235,1.3956379890441895
4,0.8223786354064941,1.1686235666275024,0.001,0.6053511500358582,1.4287066459655762
5,0.8343420028686523,1.1526895761489868,0.001,0.6086956262588501,1.4358757734298706
6,0.8420478701591492,1.1416327953338623,0.001,0.5844481587409973,1.5023064613342285
7,0.8595707416534424,1.0959676504135132,0.0003,0.6162207126617432,1.4232500791549683
0,0.8828641772270203,1.0587584972381592,3e-05,0.7048494815826416,1.3280115127563477
1,0.9152709245681763,1.001163363456726,3e-05,0.7349498271942139,1.264896273612976
2,0.9271639585494995,0.9732192158699036,3e-05,0.692307710647583,1.2607710361480713
3,0.9383533000946045,0.9499498605728149,3e-05,0.7550167441368103,1.1463485956192017
4,0.947044312953949,0.9350916743278503,3e-05,0.8160535097122192,1.018396019935608
5,0.9531667828559875,0.9199460744857788,3e-05,0.9055184125900269,0.8482860922813416
6,0.9551372528076172,0.9086677432060242,3e-05,0.8135451674461365,0.9729190468788147
7,0.9588670134544373,0.8984253406524658,3e-05,0.7600334286689758,1.1402404308319092
8,0.9627726674079895,0.8888248801231384,3e-05,0.7851170301437378,0.9761602878570557
9,0.9649190902709961,0.8800762891769409,3e-05,0.8486621975898743,0.9402807950973511
10,0.9681210517883301,0.8683710098266602,8.999999e-06,0.8795986771583557,0.8631711006164551
11,0.969071090221405,0.8638150095939636,8.999999e-06,0.8620401620864868,0.8798948526382446
12,0.9701618552207947,0.8561916947364807,8.999999e-06,0.8653846383094788,0.9088742136955261
13,0.9712174534797668,0.8566962480545044,8.999999e-06,0.8821070194244385,0.9005897641181946
