loss,accuracy,val_loss,val_accuracy,lr
0.9747800230979919,0.9019352793693542,1.1857019662857056,0.724916398525238,3e-05
0.9436624646186829,0.9198451638221741,1.2276331186294556,0.681438148021698,3e-05
0.9243636131286621,0.9324771165847778,1.2006334066390991,0.7123745679855347,3e-05
0.9124130606651306,0.9358550310134888,1.158043622970581,0.7332776188850403,3e-05
0.8985803127288818,0.9437016248703003,1.1909070014953613,0.724916398525238,3e-05
0.8868125677108765,0.9465165138244629,1.168999195098877,0.7316053509712219,3e-05
0.8798498511314392,0.9525334239006042,1.15415620803833,0.7349498271942139,3e-05
0.8739210367202759,0.9538705348968506,1.1477417945861816,0.7366220951080322,3e-05
0.8666272163391113,0.9548205733299255,1.092787265777588,0.764214038848877,3e-05
0.8600850701332092,0.9572483897209167,1.0954047441482544,0.7575250864028931,3e-05
0.857312798500061,0.9578817486763,1.0435394048690796,0.7792642116546631,3e-05
0.8458271622657776,0.9630190134048462,1.0430694818496704,0.785953164100647,3e-05
0.8428870439529419,0.9637227058410645,1.0293294191360474,0.7775919437408447,3e-05
0.8415014147758484,0.9609078168869019,1.0497604608535767,0.7675585150718689,3e-05
0.8347789645195007,0.9634764194488525,1.018959641456604,0.7692307829856873,3e-05
0.8315814733505249,0.9634412527084351,0.9952563047409058,0.7867892980575562,3e-05
0.825644850730896,0.9659746885299683,1.0149391889572144,0.7759197354316711,3e-05
0.8240799307823181,0.9645320177078247,0.9877988696098328,0.8026756048202515,3e-05
0.8194007873535156,0.9661505818367004,1.009052038192749,0.7884615659713745,3e-05
0.8139978051185608,0.966889500617981,0.9487186074256897,0.7851170301437378,3e-05
0.8109721541404724,0.9680506587028503,0.9838351607322693,0.7834448218345642,3e-05
0.8076907396316528,0.9684377312660217,0.9362088441848755,0.8210702538490295,3e-05
0.8028498888015747,0.9699859023094177,0.9014455676078796,0.8386287689208984,3e-05
0.7990922331809998,0.9703378081321716,0.910994827747345,0.8110367655754089,3e-05
0.8004215359687805,0.9693877696990967,0.8722125887870789,0.8478260636329651,3e-05
